❌ 오류 발생 (Seed 41 | Fold 0 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 1 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 0 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 1 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 2 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 3 | Model unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 0 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 1 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 2 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 3 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 41 | Fold 4 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 42 | Fold 0 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 42 | Fold 1 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 42 | Fold 2 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 42 | Fold 3 | Model attention-unet | Data fuzzy | Exit Code 1)
❌ 오류 발생 (Seed 42 | Fold 4 | Model attention-unet | Data fuzzy | Exit Code 1)
