index,split,img_path,mask_path
14,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (14).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_014.png
15,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (15).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_015.png
17,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (17).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_017.png
22,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (22).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_022.png
34,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (34).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_034.png
56,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (56).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_056.png
61,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (61).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_061.png
68,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (68).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_068.png
72,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (72).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_072.png
76,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (76).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_076.png
79,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (79).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_079.png
83,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (83).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_083.png
87,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (87).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_087.png
112,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (112).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_112.png
126,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (126).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_126.png
159,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (159).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_159.png
160,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (160).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_160.png
161,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (161).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_161.png
173,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (173).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_173.png
185,test,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (185).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_185.png
1,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (1).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_001.png
2,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (2).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_002.png
3,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (3).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_003.png
4,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (4).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_004.png
5,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (5).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_005.png
6,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (6).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_006.png
7,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (7).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_007.png
