split,index,dice_score
train_fold3,0,0.9329
train_fold3,1,0.9032
train_fold3,2,0.9161
train_fold3,3,0.9346
train_fold3,4,0.8464
train_fold3,5,0.8424
train_fold3,6,0.9231
train_fold3,7,0.9063
train_fold3,8,0.7354
train_fold3,9,0.8772
train_fold3,10,0.9629
train_fold3,11,0.9339
train_fold3,12,0.9451
train_fold3,13,0.865
train_fold3,14,0.9083
train_fold3,15,0.9301
train_fold3,16,0.8526
train_fold3,17,0.9365
train_fold3,18,0.8027
train_fold3,19,0.5221
train_fold3,20,0.8994
train_fold3,21,0.8871
train_fold3,22,0.8847
train_fold3,23,0.8915
train_fold3,24,0.9623
train_fold3,25,0.0
train_fold3,26,0.9485
train_fold3,27,0.7202
train_fold3,28,0.9008
train_fold3,29,0.3214
train_fold3,30,0.9214
train_fold3,31,0.9759
train_fold3,32,0.971
train_fold3,33,0.8902
train_fold3,34,0.8447
train_fold3,35,0.9298
train_fold3,36,0.8477
train_fold3,37,0.8905
train_fold3,38,0.5747
train_fold3,39,0.9578
train_fold3,40,0.8818
train_fold3,41,0.8889
train_fold3,42,0.7735
train_fold3,43,0.9398
train_fold3,44,0.1754
train_fold3,45,0.9239
train_fold3,46,0.9596
train_fold3,47,0.866
train_fold3,48,0.3699
train_fold3,49,0.9091
train_fold3,50,0.6952
train_fold3,51,0.9373
train_fold3,52,0.9382
train_fold3,53,0.9454
train_fold3,54,0.883
train_fold3,55,0.9713
train_fold3,56,0.9397
train_fold3,57,0.9126
train_fold3,58,0.9331
train_fold3,59,0.9282
train_fold3,60,0.0
train_fold3,61,0.9104
train_fold3,62,0.9537
train_fold3,63,0.9134
train_fold3,64,0.7757
train_fold3,65,0.9435
train_fold3,66,0.9448
train_fold3,67,0.9517
train_fold3,68,0.8662
train_fold3,69,0.9747
train_fold3,70,0.9413
train_fold3,71,0.91
train_fold3,72,0.8945
train_fold3,73,0.8837
train_fold3,74,0.0
train_fold3,75,0.0
train_fold3,76,0.9327
train_fold3,77,0.8656
train_fold3,78,0.8895
train_fold3,79,0.2618
train_fold3,80,0.9462
train_fold3,81,0.5326
train_fold3,82,0.9272
train_fold3,83,0.6726
train_fold3,84,0.8152
train_fold3,85,0.8014
train_fold3,86,0.9397
train_fold3,87,0.9101
train_fold3,88,0.8958
train_fold3,89,0.9313
train_fold3,90,0.7506
train_fold3,91,0.9009
train_fold3,92,0.9767
train_fold3,93,0.9647
train_fold3,94,0.6045
train_fold3,95,0.964
train_fold3,96,0.95
train_fold3,97,0.906
train_fold3,98,0.3816
train_fold3,99,0.934
train_fold3,100,0.9302
train_fold3,101,0.9202
train_fold3,102,0.8965
train_fold3,103,0.875
train_fold3,104,0.4846
train_fold3,105,0.9239
train_fold3,106,0.9293
train_fold3,107,0.9495
train_fold3,108,0.9448
train_fold3,109,0.7634
train_fold3,110,0.9165
train_fold3,111,0.9257
train_fold3,112,0.783
train_fold3,113,0.901
train_fold3,114,0.9248
train_fold3,115,0.7713
train_fold3,116,0.3192
train_fold3,117,0.9497
train_fold3,118,0.9162
train_fold3,119,0.955
train_fold3,120,0.9357
train_fold3,121,0.8826
train_fold3,122,0.9139
train_fold3,123,0.9499
train_fold3,124,0.9565
train_fold3,125,0.965
train_fold3,126,0.8054
train_fold3,127,0.9651
train_fold3,128,0.8996
train_fold3,129,0.9017
train_fold3,130,0.9282
train_fold3,131,0.9095
train_fold3,132,0.8909
train_fold3,133,0.5917
train_fold3,134,0.9019
train_fold3,135,0.9474
train_fold3,136,0.9353
train_fold3,137,0.893
train_fold3,138,0.1381
train_fold3,139,0.9349
train_fold3,140,0.6263
train_fold3,141,0.9539
train_fold3,142,0.7886
train_fold3,143,0.8924
