split,index,dice_score
train_fold1,0,0.9221
train_fold1,1,0.9304
train_fold1,2,0.794
train_fold1,3,0.0
train_fold1,4,0.8703
train_fold1,5,0.0
train_fold1,6,0.9191
train_fold1,7,0.8869
train_fold1,8,0.0
train_fold1,9,0.8472
train_fold1,10,0.8096
train_fold1,11,0.8797
train_fold1,12,0.9494
train_fold1,13,0.9571
train_fold1,14,0.8158
train_fold1,15,0.943
train_fold1,16,0.7121
train_fold1,17,0.9416
train_fold1,18,0.4364
train_fold1,19,0.7529
train_fold1,20,0.7602
train_fold1,21,0.9053
train_fold1,22,0.6461
train_fold1,23,0.5591
train_fold1,24,0.0
train_fold1,25,0.8032
train_fold1,26,0.9655
train_fold1,27,0.8596
train_fold1,28,0.9398
train_fold1,29,0.9387
train_fold1,30,0.9206
train_fold1,31,0.9146
train_fold1,32,0.9478
train_fold1,33,0.8827
train_fold1,34,0.9331
train_fold1,35,0.9626
train_fold1,36,0.9485
train_fold1,37,0.8828
train_fold1,38,0.5188
train_fold1,39,0.8519
train_fold1,40,0.9619
train_fold1,41,0.8828
train_fold1,42,0.9344
train_fold1,43,0.9084
train_fold1,44,0.9177
train_fold1,45,0.8766
train_fold1,46,0.9012
train_fold1,47,0.7451
train_fold1,48,0.6022
train_fold1,49,0.9625
train_fold1,50,0.0
train_fold1,51,0.872
train_fold1,52,0.0
train_fold1,53,0.9336
train_fold1,54,0.7324
train_fold1,55,0.9371
train_fold1,56,0.9621
train_fold1,57,0.08
train_fold1,58,0.9392
train_fold1,59,0.9176
train_fold1,60,0.9568
train_fold1,61,0.8881
train_fold1,62,0.878
train_fold1,63,0.858
train_fold1,64,0.9619
train_fold1,65,0.7313
train_fold1,66,0.8952
train_fold1,67,0.2262
train_fold1,68,0.0
train_fold1,69,0.9062
train_fold1,70,0.9397
train_fold1,71,0.7074
train_fold1,72,0.64
train_fold1,73,0.8104
train_fold1,74,0.9433
train_fold1,75,0.9182
train_fold1,76,0.8007
train_fold1,77,0.9177
train_fold1,78,0.8658
train_fold1,79,0.9123
train_fold1,80,0.9531
train_fold1,81,0.9624
train_fold1,82,0.9301
train_fold1,83,0.7881
train_fold1,84,0.8984
train_fold1,85,0.593
train_fold1,86,0.8143
train_fold1,87,0.8313
train_fold1,88,0.9444
train_fold1,89,0.8606
train_fold1,90,0.8214
train_fold1,91,0.8941
train_fold1,92,0.576
train_fold1,93,0.8995
train_fold1,94,0.9371
train_fold1,95,0.9007
train_fold1,96,0.8864
train_fold1,97,0.843
train_fold1,98,0.0
train_fold1,99,0.9333
train_fold1,100,0.6039
train_fold1,101,0.8951
train_fold1,102,0.9231
train_fold1,103,0.8021
train_fold1,104,0.8929
train_fold1,105,0.8869
train_fold1,106,0.9462
train_fold1,107,0.8626
train_fold1,108,0.9485
train_fold1,109,0.8972
train_fold1,110,0.9691
train_fold1,111,0.9462
train_fold1,112,0.9532
train_fold1,113,0.0
train_fold1,114,0.7773
train_fold1,115,0.9086
train_fold1,116,0.5664
train_fold1,117,0.9171
train_fold1,118,0.8505
train_fold1,119,0.9001
train_fold1,120,0.5343
train_fold1,121,0.8113
train_fold1,122,0.0
train_fold1,123,0.9398
train_fold1,124,0.8078
train_fold1,125,0.8431
train_fold1,126,0.8942
train_fold1,127,0.9587
train_fold1,128,0.9489
train_fold1,129,0.6032
train_fold1,130,0.9632
train_fold1,131,0.8919
train_fold1,132,0.9511
train_fold1,133,0.9346
train_fold1,134,0.9438
train_fold1,135,0.0
train_fold1,136,0.673
train_fold1,137,0.9566
train_fold1,138,0.9213
train_fold1,139,0.9536
train_fold1,140,0.9357
train_fold1,141,0.8227
train_fold1,142,0.9319
train_fold1,143,0.9472
